scenario_id,well_id,pad_id,current_lift_mode,before_liquid_rate_m3d,before_gas_rate_e3m3d,before_watercut_pct,before_tubing_pressure_kpa,before_casing_pressure_kpa,before_line_pressure_kpa,before_production_volatility,before_arrival_reliability_pct,before_missed_arrivals_7d,current_gas_injection_e3m3d,current_afterflow_min,current_close_time_min,days_since_last_change,data_quality_score,downtime_flag,facility_constraint_flag,high_watercut_regime,liquid_loading_risk_score,event_quality_label,candidate_delta_gas_e3m3d,candidate_delta_afterflow_min,candidate_delta_close_time_min,candidate_note,pred_delta_liquid_m3d,lcb80,ucb80,interval_width,support_dist,in_support,large_gas_change,recommendation,reason
SCEN_013,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,8.0,8.0,0.0,synthetic candidate action; no target provided,2.747,-1.649,7.142,8.791,2.027,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_014,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,8.0,8.0,-10.0,synthetic candidate action; no target provided,2.747,-1.649,7.142,8.791,1.992,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_015,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,14.0,0.0,0.0,synthetic candidate action; no target provided,5.076,0.477,9.675,9.198,2.389,True,False,recommend,recommend
SCEN_016,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,14.0,0.0,-10.0,synthetic candidate action; no target provided,5.076,0.42,9.731,9.311,2.293,True,False,recommend,recommend
SCEN_017,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,14.0,8.0,0.0,synthetic candidate action; no target provided,5.076,0.38,9.772,9.392,2.263,True,False,recommend,recommend
SCEN_018,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,14.0,8.0,-10.0,synthetic candidate action; no target provided,5.076,0.38,9.772,9.392,2.25,True,False,recommend,recommend
SCEN_019,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675.0,4463.0,1442.0,0.904,95.2,0.0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,-8.0,0.0,0.0,synthetic candidate action; no target provided,-3.792,-7.378,-0.205,7.174,2.237,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_020,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675.0,4463.0,1442.0,0.904,95.2,0.0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,-4.0,0.0,0.0,synthetic candidate action; no target provided,-2.239,-5.052,0.574,5.626,2.262,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_021,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675.0,4463.0,1442.0,0.904,95.2,0.0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,0.0,0.0,0.0,synthetic candidate action; no target provided,-0.686,-3.587,2.214,5.801,2.363,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_022,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675.0,4463.0,1442.0,0.904,95.2,0.0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,4.0,0.0,0.0,synthetic candidate action; no target provided,0.866,-1.446,3.179,4.624,2.469,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_023,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675.0,4463.0,1442.0,0.904,95.2,0.0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,8.0,0.0,0.0,synthetic candidate action; no target provided,2.419,-0.027,4.865,4.892,2.589,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_024,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675.0,4463.0,1442.0,0.904,95.2,0.0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,14.0,0.0,0.0,synthetic candidate action; no target provided,4.748,0.777,8.72,7.943,2.869,True,False,recommend,recommend
SCEN_025,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,-8.0,0.0,0.0,synthetic candidate action; no target provided,-3.464,-6.896,-0.031,6.865,2.77,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_026,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,-4.0,0.0,0.0,synthetic candidate action; no target provided,-1.911,-4.652,0.83,5.481,2.724,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_027,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,0.0,0.0,0.0,synthetic candidate action; no target provided,-0.358,-3.227,2.51,5.737,2.715,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_028,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,0.0,0.0,-10.0,synthetic candidate action; no target provided,-0.358,-3.108,2.391,5.499,2.802,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_029,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,0.0,8.0,0.0,synthetic candidate action; no target provided,-0.358,-3.227,2.51,5.737,2.682,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_030,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,0.0,8.0,-10.0,synthetic candidate action; no target provided,-0.358,-3.162,2.445,5.607,2.875,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_031,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,4.0,0.0,0.0,synthetic candidate action; no target provided,1.194,-1.428,3.816,5.244,2.788,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_032,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,4.0,0.0,-10.0,synthetic candidate action; no target provided,1.194,-1.482,3.87,5.352,2.88,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_033,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,4.0,8.0,0.0,synthetic candidate action; no target provided,1.194,-1.428,3.816,5.244,2.813,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_034,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,4.0,8.0,-10.0,synthetic candidate action; no target provided,1.194,-1.482,3.87,5.352,3.014,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_035,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,8.0,0.0,0.0,synthetic candidate action; no target provided,2.747,-0.74,6.234,6.973,2.908,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_036,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,8.0,0.0,-10.0,synthetic candidate action; no target provided,2.747,-1.421,6.915,8.335,3.043,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_037,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,8.0,8.0,0.0,synthetic candidate action; no target provided,2.747,-0.74,6.234,6.973,2.959,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_038,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,8.0,8.0,-10.0,synthetic candidate action; no target provided,2.747,-1.812,7.306,9.118,3.164,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_039,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,14.0,0.0,0.0,synthetic candidate action; no target provided,5.076,0.075,10.077,10.003,3.113,True,False,recommend,recommend
SCEN_040,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,14.0,0.0,-10.0,synthetic candidate action; no target provided,5.076,0.697,9.455,8.759,3.296,True,False,recommend,recommend
SCEN_041,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,14.0,8.0,0.0,synthetic candidate action; no target provided,5.076,0.555,9.597,9.042,3.221,True,False,recommend,recommend
SCEN_042,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249.0,4868.0,846.0,0.798,70.9,3.0,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,14.0,8.0,-10.0,synthetic candidate action; no target provided,5.076,0.896,9.255,8.359,3.39,True,False,recommend,recommend
SCEN_043,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,-8.0,0.0,0.0,synthetic candidate action; no target provided,-3.464,-7.256,0.329,7.585,2.469,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_044,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,-4.0,0.0,0.0,synthetic candidate action; no target provided,-1.911,-5.894,2.072,7.965,2.316,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_045,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,0.0,0.0,0.0,synthetic candidate action; no target provided,-0.358,-4.581,3.864,8.444,2.232,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_046,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,0.0,0.0,-10.0,synthetic candidate action; no target provided,-0.358,-4.581,3.864,8.444,2.044,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_047,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,0.0,8.0,0.0,synthetic candidate action; no target provided,-0.358,-4.54,3.823,8.364,2.318,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_048,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,0.0,8.0,-10.0,synthetic candidate action; no target provided,-0.358,-4.581,3.864,8.444,2.257,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_049,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,4.0,0.0,0.0,synthetic candidate action; no target provided,1.194,-2.829,5.217,8.046,2.249,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_050,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,4.0,0.0,-10.0,synthetic candidate action; no target provided,1.194,-2.829,5.217,8.046,2.03,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_051,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,4.0,8.0,0.0,synthetic candidate action; no target provided,1.194,-2.829,5.217,8.046,2.288,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_052,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,4.0,8.0,-10.0,synthetic candidate action; no target provided,1.194,-2.829,5.217,8.046,2.252,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_053,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,8.0,0.0,0.0,synthetic candidate action; no target provided,2.747,-1.571,7.065,8.636,2.312,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_054,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,8.0,0.0,-10.0,synthetic candidate action; no target provided,2.747,-1.611,7.105,8.716,2.181,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_055,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,8.0,8.0,0.0,synthetic candidate action; no target provided,2.747,-1.571,7.065,8.636,2.345,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_056,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,8.0,8.0,-10.0,synthetic candidate action; no target provided,2.747,-1.571,7.065,8.636,2.323,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_057,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,14.0,0.0,0.0,synthetic candidate action; no target provided,5.076,-0.361,10.513,10.874,2.529,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_058,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,14.0,0.0,-10.0,synthetic candidate action; no target provided,5.076,-1.001,11.153,12.155,2.485,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_059,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,14.0,8.0,0.0,synthetic candidate action; no target provided,5.076,-0.361,10.513,10.874,2.525,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_060,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758.0,3278.0,977.0,1.369,68.7,3.0,0.0,54.3,109.0,25,1.0,0,0,0,0.966,low_quality,14.0,8.0,-10.0,synthetic candidate action; no target provided,5.076,-1.157,11.309,12.466,2.605,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_061,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,-8.0,0.0,0.0,synthetic candidate action; no target provided,-3.464,-8.354,1.427,9.781,2.245,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_062,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,-4.0,0.0,0.0,synthetic candidate action; no target provided,-1.911,-6.647,2.825,9.472,2.228,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_063,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,0.0,0.0,0.0,synthetic candidate action; no target provided,-0.358,-5.352,4.635,9.987,2.283,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_064,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,0.0,0.0,-10.0,synthetic candidate action; no target provided,-0.358,-4.496,3.779,8.276,2.471,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_065,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,0.0,8.0,0.0,synthetic candidate action; no target provided,-0.358,-4.496,3.779,8.276,2.454,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_066,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,0.0,8.0,-10.0,synthetic candidate action; no target provided,-0.358,-4.364,3.647,8.012,2.689,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_067,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,4.0,0.0,0.0,synthetic candidate action; no target provided,1.194,-3.445,5.834,9.279,2.414,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_068,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,4.0,0.0,-10.0,synthetic candidate action; no target provided,1.194,-1.644,4.032,5.676,2.577,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_069,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,4.0,8.0,0.0,synthetic candidate action; no target provided,1.194,-1.644,4.032,5.676,2.575,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_070,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,4.0,8.0,-10.0,synthetic candidate action; no target provided,1.194,-2.435,4.823,7.258,2.768,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_071,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,8.0,0.0,0.0,synthetic candidate action; no target provided,2.747,-1.078,6.572,7.65,2.601,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_072,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,8.0,0.0,-10.0,synthetic candidate action; no target provided,2.747,-1.074,6.567,7.641,2.744,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_073,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,8.0,8.0,0.0,synthetic candidate action; no target provided,2.747,-1.074,6.567,7.641,2.77,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_074,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,8.0,8.0,-10.0,synthetic candidate action; no target provided,2.747,-1.128,6.621,7.749,2.9,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_075,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,14.0,0.0,0.0,synthetic candidate action; no target provided,5.076,-1.18,11.332,12.512,2.934,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_076,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,14.0,0.0,-10.0,synthetic candidate action; no target provided,5.076,-1.18,11.332,12.512,3.024,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_077,WELL_12,PAD_4,gas_assisted_plunger,9.09,80.3,69.3,2774.0,4314.0,1180.0,1.673,69.3,2.0,31.51,42.0,92.6,9,0.852,0,0,0,1.0,clean,14.0,8.0,0.0,synthetic candidate action; no target provided,5.076,-1.76,11.911,13.671,3.163,True,False,hold,hold: gain not confident (80% interval crosses 0)
