event_id,well_id,pad_id,event_time,current_lift_mode,before_liquid_rate_m3d,before_gas_rate_e3m3d,before_watercut_pct,before_tubing_pressure_kpa,before_casing_pressure_kpa,before_line_pressure_kpa,before_production_volatility,before_arrival_reliability_pct,before_missed_arrivals_7d,current_gas_injection_e3m3d,current_afterflow_min,current_close_time_min,action_delta_gas_e3m3d,action_delta_afterflow_min,action_delta_close_time_min,days_since_last_change,data_quality_score,downtime_flag,facility_constraint_flag,high_watercut_regime,liquid_loading_risk_score,event_quality_label,target_delta_liquid_48h_m3d
EVT_0036,WELL_08,PAD_3,2024-04-03,gas_lift,21.36,32.72,25.6,2309,3647,845,0.953,94,0,24.4,26.4,64.1,13.97,-8.7,8.4,2,0.689,1,0,0,0.434,low_quality,7.66
EVT_0040,WELL_09,PAD_3,2024-04-03,gas_lift,24.38,58.06,61.4,2746,4067,968,1.77,92.5,1,16.94,13.6,50,-0.44,3.3,-2.2,4,0.805,0,0,0,0.962,clean,0.57
EVT_0037,WELL_07,PAD_3,2024-04-05,gas_lift,23.71,34.61,49.7,2412,4345,1130,2.082,83.7,1,24.54,20.6,48.3,1.13,0.9,-3.1,26,0.943,0,0,0,1,clean,5.77
EVT_0041,WELL_02,PAD_1,2024-04-09,gas_lift,50.32,54.64,41.9,2379,4157,1014,0.805,90.4,0,59.38,23,59.7,-21.78,1.4,8.5,7,1,0,0,0,0.471,clean,-8.76
EVT_0042,WELL_09,PAD_3,2024-04-14,gas_lift,15.21,27.91,53.8,2143,4574,1061,1.974,85.4,,27.32,22.1,46.8,-8.45,-3.6,0.2,31,0.751,0,0,0,1,clean,-5.53
EVT_0044,WELL_04,PAD_2,2024-04-15,plunger_assisted_gas_lift,12.6,56.07,21.2,2092,4275,1113,0.722,78.6,1,20.64,37.3,94.3,-8.44,7.3,6,9,1,0,0,0,0.422,clean,-1
EVT_0045,WELL_06,PAD_2,2024-04-22,gas_lift,33.97,54.3,76.3,2793,3991,841,2.44,81.5,0,59.87,30.1,52.6,-2.39,0,8.9,5,0.669,1,0,1,1,low_quality,6.03
EVT_0047,WELL_06,PAD_2,2024-04-24,plunger_dominant,40.09,78.81,64.9,2149,4700,1170,2.595,69.3,1,26.39,59.5,135,2.96,8.6,-4.4,47,0.763,0,0,0,1,clean,-0.67
EVT_0048,WELL_08,PAD_3,2024-04-30,gas_assisted_plunger,18.33,32.32,34.2,2490,3004,,1.304,80,1,3.91,32.4,76.5,1.73,-9.6,-0.5,7,0.933,0,0,0,0.687,clean,1.62
EVT_0043,WELL_12,PAD_4,2024-05-02,gas_lift,15.18,78.41,59.3,2468,4252,1000,1.274,91,1,49.06,24.9,54.5,4.5,-2,2.1,12,0.831,0,0,0,0.78,clean,2.6
EVT_0049,WELL_08,PAD_3,2024-05-03,gas_assisted_plunger,14.11,34.13,22.6,3049,4286,1108,0.519,87.5,2,16.85,32.6,106.2,-20.3,-8.9,-5.5,37,0.814,0,0,0,0.4,clean,-8.01
EVT_0046,WELL_01,PAD_1,2024-05-04,gas_assisted_plunger,46.8,42.61,40.7,2674,3851,1324,2.189,75.9,0,31.56,60.7,60.2,0.34,-1.8,1.1,1,0.652,0,1,0,0.978,contaminated,-2.04
EVT_0054,WELL_11,PAD_4,2024-05-12,plunger_dominant,15.93,29.75,60.2,3002,3963,1077,1.335,71.6,3,14.13,48.1,88.5,-10.3,-1.4,35,2,0.985,0,0,0,0.965,low_quality,-11.46
EVT_0052,WELL_09,PAD_3,2024-05-13,gas_lift,16.26,59.56,66.5,2491,4502,980,1.162,88,1,51.08,15.8,44.5,-0.08,0.3,-4.5,9,0.885,0,0,0,0.783,low_quality,-0.87
EVT_0056,WELL_02,PAD_1,2024-05-14,gas_lift,39.69,75.54,62.1,2511,4425,1139,1.71,88,0,46.79,14.9,77.8,-0.91,3.9,5.2,7,0.878,0,0,0,0.893,clean,-1.62
EVT_0055,WELL_05,PAD_2,2024-05-15,gas_assisted_plunger,18.92,30.77,51.7,1628,5213,1092,0.891,100,0,27.31,44.2,123.9,-11.12,8,-7.5,61,0.811,0,0,0,0.53,low_quality,-7.29
EVT_0050,WELL_08,PAD_3,2024-05-17,gas_assisted_plunger,11.93,22.47,40.9,2420,5040,950,1.072,,2,20.75,34,117.3,-7.82,8.5,10.2,72,0.696,0,0,0,0.697,clean,-5.14
EVT_0053,WELL_09,PAD_3,2024-05-18,gas_lift,21.73,45.89,64.9,2084,3373,1377,1.693,86.9,1,21.12,35.1,9.3,11.96,2.8,2.2,10,0.845,0,0,0,0.963,clean,3.08
EVT_0057,WELL_10,PAD_4,2024-05-19,gas_assisted_plunger,37.51,25.71,55.6,2650,3825,946,1.089,69,2,36.79,48,84.4,-8.32,-4.8,-14.5,1,0.907,0,0,0,0.801,clean,-2.66
EVT_0051,WELL_01,PAD_1,2024-05-20,plunger_dominant,43.99,43.77,75.3,2343,4600,902,1.457,,1,51.09,25.1,60.6,-1.73,-14.1,-7,11,0.776,0,0,1,0.937,low_quality,2.96
EVT_0058,WELL_04,PAD_2,2024-05-20,plunger_assisted_gas_lift,12.08,37.43,33.1,2457,4537,1120,0.811,86.4,3,49.18,52.6,104.2,12.29,-11.8,-3.1,2,0.707,1,0,0,0.616,contaminated,-1.12
EVT_0060,WELL_03,PAD_1,2024-06-02,plunger_assisted_gas_lift,21.41,56.43,32.8,2644,4192,992,0.609,80.9,0,52.72,17.2,52.4,4.18,-1.6,0.1,1,0.735,0,1,0,0.375,low_quality,4.13
EVT_0059,WELL_02,PAD_1,2024-06-06,gas_lift,50.51,60.03,34.6,1943,4666,1183,1.886,90.5,0,40.68,0,68.6,8.11,-1.1,3.5,10,0.898,0,0,0,0.812,clean,6.38
EVT_0061,WELL_05,PAD_2,2024-06-10,gas_assisted_plunger,22.04,26.69,61.2,2917,3526,879,1.702,75.2,4,15.06,51.7,103.4,-2.07,4.6,12.9,19,0.747,1,0,0,1,contaminated,6.84
EVT_0062,WELL_09,PAD_3,2024-06-13,gas_lift,23.43,42.25,58.9,2563,3727,1373,1.83,92.4,0,41.78,23.1,39.6,-7.98,1.9,5.3,1,0.869,0,0,0,0.91,clean,-3.93
EVT_0064,WELL_06,PAD_2,2024-06-13,plunger_assisted_gas_lift,26.41,56.06,72,2352,4089,872,1.047,78.9,1,29.31,41.8,63.1,1.81,-0.1,4.8,13,0.845,0,0,1,0.789,clean,-0.47
EVT_0065,WELL_12,PAD_4,2024-06-19,gas_assisted_plunger,14.8,67.93,41.8,2774,4604,1326,0.792,72.9,2,35.61,47.5,109,3.61,-8.2,-20.3,11,0.791,1,0,0,0.62,contaminated,1.17
EVT_0066,WELL_03,PAD_1,2024-06-20,plunger_assisted_gas_lift,20.58,52.88,42.9,2571,3401,981,1.413,52.1,8,15,56,84.9,8.31,-23.5,7.9,1,0.896,0,0,0,1,clean,-3.18
EVT_0067,WELL_08,PAD_3,2024-06-22,plunger_dominant,23.71,35.16,27.6,2493,3963,1128,1.303,80.2,2,16.45,47.6,43.6,9.49,5.4,4.7,2,0.943,0,0,0,0.713,clean,1.06
EVT_0069,WELL_02,PAD_1,2024-06-25,gas_lift,36.31,58.72,41.9,3016,4403,1169,1.907,90.3,0,32.45,23.3,58.7,-14.74,2.6,0.6,51,0.895,0,0,0,0.856,clean,-8.35
EVT_0063,WELL_03,PAD_1,2024-06-25,gas_lift,13.15,46.55,31.6,1977,3060,1094,0.919,92.8,1,39.3,1.5,61.7,7.01,-1.5,-3.5,33,0.897,0,0,0,0.514,clean,1.22
EVT_0068,WELL_03,PAD_1,2024-06-29,plunger_assisted_gas_lift,19.67,31.33,31.1,1741,4216,1242,0.728,84.3,1,33.33,63.6,121,-6.08,6.3,10.1,29,0.925,0,0,0,0.462,clean,2.11
EVT_0070,WELL_09,PAD_3,2024-07-02,gas_lift,17.27,57,60.8,2675,3975,1345,1.401,88.6,0,28.95,10.6,9.1,-7.73,-4.2,4.9,34,0.854,0,0,0,0.777,clean,-2.12
EVT_0074,WELL_11,PAD_4,2024-07-02,plunger_assisted_gas_lift,21.69,58.74,54.1,1307,3655,1126,1.417,77.4,2,29,32.1,122.9,2.89,-1,-1.1,34,0.912,0,0,0,0.891,clean,0.24
EVT_0073,WELL_10,PAD_4,2024-07-03,gas_assisted_plunger,31.78,45.91,52,1882,4472,957,1.411,79.4,1,16.99,44.4,87.5,-2.99,-5.6,15,53,0.775,0,0,0,0.815,clean,0.03
EVT_0076,WELL_10,PAD_4,2024-07-08,gas_lift,30.92,32.16,54.7,1680,4093,1333,2.084,85.8,0,49.57,39.2,44.3,1.58,2.9,-2.6,6,0.697,0,1,0,0.992,low_quality,-2.97
EVT_0072,WELL_09,PAD_3,2024-07-11,gas_lift,27.15,47.03,37.2,1873,4782,1209,1.662,82.9,0,39.43,16.7,40.1,-4.38,-0.5,6.6,1,0.923,0,0,0,0.762,clean,-6.7
EVT_0071,WELL_08,PAD_3,2024-07-12,gas_lift,14.98,32.56,55.8,2526,4416,1072,2.65,81.1,4,11.91,32.9,37.8,16.73,2.7,-3.8,37,0.628,1,0,0,1,contaminated,8.9
EVT_0078,WELL_10,PAD_4,2024-07-13,plunger_assisted_gas_lift,29.69,52.99,32.6,2284,3710,1157,3.001,81.7,4,41.99,44.8,102.4,-2.32,5.4,-6.4,7,0.873,0,0,0,1,clean,1.22
EVT_0077,WELL_11,PAD_4,2024-07-13,gas_assisted_plunger,24.75,27.91,69.3,2124,4615,712,2.058,49.4,4,26.88,56.6,110.5,-24.16,-5.4,14.3,30,0.622,1,0,0,1,clean,-4.72
EVT_0081,WELL_10,PAD_4,2024-07-17,gas_assisted_plunger,28.87,47.27,40.6,2841,4474,1469,0.856,84.8,0,49.84,63.2,74.3,0.63,-7,-10.9,14,0.996,0,0,0,0.493,clean,-0.26
EVT_0075,WELL_04,PAD_2,2024-07-18,plunger_assisted_gas_lift,6.52,56.85,42.9,2567,3959,1049,1.227,69.2,4,26.81,46.1,73.8,7.27,2,1.8,54,0.825,0,0,0,0.905,clean,2.75
EVT_0080,WELL_12,PAD_4,2024-07-20,gas_assisted_plunger,11.94,48.18,38.4,3271,4329,996,0.591,79.9,3,55.22,40,60.4,2.87,-3.3,3.1,5,0.774,0,0,0,0.579,low_quality,0.1
EVT_0079,WELL_03,PAD_1,2024-07-22,plunger_assisted_gas_lift,7.34,51.55,28.4,3039,4642,1116,4.394,64.9,3,35.98,65.1,94.7,1.26,-11.9,12.2,30,0.744,0,1,0,1,clean,-2.23
EVT_0082,WELL_11,PAD_4,2024-07-22,plunger_dominant,21.63,23.42,75.5,2451,4170,718,1.996,67.8,4,39.61,48,89.4,-0.96,-1.1,9.9,5,0.881,0,0,1,1,clean,-4.48
EVT_0086,WELL_04,PAD_2,2024-08-07,plunger_assisted_gas_lift,11.54,43.49,27.4,2584,3403,1354,1.057,76.8,4,21.83,48.4,41,-0.23,15.5,4.3,12,0.876,0,0,0,0.753,clean,1.43
EVT_0083,WELL_08,PAD_3,2024-08-08,gas_assisted_plunger,17.04,24.96,12.4,1698,3415,1229,1.439,68.6,3,29.34,21.9,92.3,13.69,-6,-16.5,28,0.853,0,0,0,0.768,low_quality,6.54
EVT_0084,WELL_08,PAD_3,2024-08-10,gas_assisted_plunger,17.18,38.85,26.4,2234,3294,1198,1.057,70.7,2,2.53,59.3,103.6,-14.54,4.6,11.6,2,0.888,0,0,0,0.64,clean,-11.22
EVT_0085,WELL_07,PAD_3,2024-08-10,gas_lift,23.18,5.98,51.5,3515,3862,990,1.2,91.9,1,10.98,26.6,32.9,1.97,1.7,-3.7,4,0.889,0,0,0,0.713,clean,-2.13
EVT_0088,WELL_08,PAD_3,2024-08-12,gas_assisted_plunger,10.82,47.41,43.9,2383,3635,1088,1.681,75.1,0,31.63,47.5,126.4,4.13,5,-13.7,20,0.885,0,0,0,0.818,clean,1.14
EVT_0087,WELL_05,PAD_2,2024-08-17,gas_assisted_plunger,28.7,28.64,60.4,3040,3906,966,1.688,72.9,3,28.71,20.3,89.1,-1.09,-10.7,-1,24,0.877,0,0,0,1,clean,-2.8
EVT_0089,WELL_03,PAD_1,2024-08-18,plunger_assisted_gas_lift,23.65,54.76,48.3,1716,3790,974,2.588,64.4,6,35.46,27.3,44.5,-25,12.4,-26,13,0.843,0,0,0,1,clean,-17.14
EVT_0093,WELL_11,PAD_4,2024-08-20,plunger_dominant,24.96,42.8,65.8,2378,4202,984,1.757,73.7,0,39.88,34,85.6,1.53,-12.4,-1.3,13,0.818,0,0,0,0.956,clean,-7.23
EVT_0092,WELL_04,PAD_2,2024-08-21,plunger_assisted_gas_lift,6.13,76.43,32.2,2194,5093,1249,1.636,77.7,2,17.02,53.6,79.5,1.37,-3,2.1,4,0.945,0,0,0,0.858,clean,0.23
EVT_0091,WELL_07,PAD_3,2024-08-24,gas_assisted_plunger,28.7,44.21,57.1,3185,5213,988,0.891,,3,40.8,49.5,112.1,-0.36,-5.2,-12.7,51,0.999,0,0,0,0.778,clean,2.95
EVT_0090,WELL_07,PAD_3,2024-08-25,gas_assisted_plunger,15.92,24.25,59.6,1967,3782,644,1.687,57.7,9,24.32,33.5,93.1,4.16,4.9,-12.2,1,0.86,0,0,0,1,clean,1.13
EVT_0096,WELL_06,PAD_2,2024-09-04,plunger_dominant,37.7,81.47,67.3,2851,3923,1261,1.289,78.7,1,34.84,37.7,103.5,2.94,9.8,-7.6,11,0.917,0,0,0,0.85,clean,0.73
EVT_0097,WELL_01,PAD_1,2024-09-05,gas_assisted_plunger,48.07,63.35,75.6,2580,3906,1114,3.33,44.6,5,37.88,49.8,70.6,3.81,12.3,-2.3,44,0.72,1,0,1,1,contaminated,0.15
EVT_0094,WELL_04,PAD_2,2024-09-06,plunger_assisted_gas_lift,11.31,53.58,42.8,2374,3130,1358,1.44,71.6,1,27.67,74.3,87.6,-9.77,-15.1,-4.7,31,0.839,1,0,0,0.795,low_quality,4.86
EVT_0095,WELL_07,PAD_3,2024-09-07,gas_assisted_plunger,22.79,28.38,74.8,2548,4882,869,1.857,75.9,5,16.48,33.5,92.4,24.18,3.2,-1,48,0.899,0,0,1,1,clean,10.17
EVT_0099,WELL_11,PAD_4,2024-09-11,plunger_dominant,20.74,22.68,62.9,1906,3593,1160,1.189,58.5,1,19.6,26.2,111.3,-3.57,-2.8,13.3,5,0.871,0,0,0,0.833,clean,0.55
EVT_0100,WELL_02,PAD_1,2024-09-12,gas_lift,36.5,38.67,38.5,1763,4488,1195,0.609,97.2,0,60.39,26.1,72,17.52,0.8,5.1,19,0.917,0,0,0,0.372,clean,1.83
EVT_0098,WELL_05,PAD_2,2024-09-13,gas_assisted_plunger,24.24,32.37,52.2,2711,3727,994,1.34,77.6,2,31.38,44.4,111.7,-6.38,2.7,6.4,5,0.95,0,0,0,0.855,low_quality,-7.09
EVT_0102,WELL_06,PAD_2,2024-09-23,gas_assisted_plunger,30.47,58.94,71,2451,4466,939,1.219,65.4,,34.35,55.1,128.8,0.38,-9.8,8.1,20,0.709,0,1,1,0.991,clean,-3.31
EVT_0101,WELL_06,PAD_2,2024-09-27,plunger_dominant,38.57,71.93,93.2,2237,4140,1269,1.645,70.9,2,22.52,25,106.3,5.95,-3.8,-1.1,7,0.986,0,0,1,1,clean,-3.23
EVT_0106,WELL_08,PAD_3,2024-09-28,gas_assisted_plunger,9.63,28.24,20.5,2447,3933,922,0.549,74.5,5,19.36,24.5,96.8,2.9,-2.1,20.2,7,0.907,0,0,0,0.606,clean,0.82
EVT_0107,WELL_06,PAD_2,2024-09-28,plunger_dominant,29.74,57.82,57.8,2630,4713,1307,1.789,76.8,2,37.44,33.6,112.3,25,-2.2,-21.9,17,0.937,0,0,0,1,clean,12.86
EVT_0110,WELL_07,PAD_3,2024-10-01,gas_assisted_plunger,22.24,2,60.6,2698,3150,1023,1.303,76.2,1,17.42,19.1,123.3,1.25,-4.3,-16.1,11,0.816,0,0,0,0.826,clean,-0.46
EVT_0105,WELL_09,PAD_3,2024-10-01,gas_lift,26.52,50.42,49.3,1966,4146,941,0.906,88.5,1,35.89,23.4,54.5,-9.68,3.1,3.3,8,0.676,0,1,0,0.606,contaminated,-6.46
EVT_0103,WELL_05,PAD_2,2024-10-03,gas_assisted_plunger,18.59,19.6,54.4,2068,3776,706,1.606,73.9,5,11.83,38.9,139.7,1.93,6.2,6.6,2,0.861,0,0,0,1,clean,1.54
EVT_0104,WELL_05,PAD_2,2024-10-03,gas_lift,26.05,36.23,56.6,2851,3418,915,1.106,90.6,0,25.79,37.9,84.8,-8.08,-0.5,-5.5,10,0.872,0,0,0,0.649,low_quality,-4.89
EVT_0111,WELL_05,PAD_2,2024-10-07,gas_assisted_plunger,16.23,10.51,62.6,2449,3480,757,2.34,71,4,19.89,67,64.6,-4.14,-1.9,30.7,14,0.529,1,1,0,1,contaminated,-1.04
EVT_0108,WELL_04,PAD_2,2024-10-09,plunger_assisted_gas_lift,26.75,39.2,5,2716,3623,1172,0.987,96.6,0,38.87,50.2,88.6,6.81,10.5,9.1,4,0.779,0,0,0,0.337,clean,0.7
EVT_0109,WELL_07,PAD_3,2024-10-11,gas_assisted_plunger,30.64,6.13,48.3,2254,3808,1217,3.13,42.6,5,10.75,54.7,105.1,1.64,9.5,13.9,52,0.64,0,1,0,1,low_quality,5.81
EVT_0115,WELL_10,PAD_4,2024-10-13,gas_assisted_plunger,25.33,36,47.7,2128,2719,,1.195,70.6,0,0.16,47.2,100.7,4.35,-4.1,-26.1,17,0.759,1,0,0,0.676,low_quality,4.55
EVT_0112,WELL_06,PAD_2,2024-10-15,plunger_dominant,29.18,68.48,82.5,2450,4706,1485,1.876,77.1,2,52.44,44.2,125.9,1.37,-14.6,11.3,30,0.682,0,1,1,1,contaminated,-4.1
EVT_0114,WELL_04,PAD_2,2024-10-24,plunger_assisted_gas_lift,26.38,52.91,5,1757,3427,930,1.212,65.4,5,24.75,46.8,77.8,4.62,-2.8,-23.2,16,0.77,1,0,0,0.778,contaminated,0.92
EVT_0117,WELL_09,PAD_3,2024-10-26,gas_lift,21.4,57.26,63.9,1785,4666,1027,1.938,92.4,0,25.37,16,28.8,-2.25,0.2,5.5,17,0.76,1,0,0,0.973,low_quality,10.55
EVT_0118,WELL_01,PAD_1,2024-10-27,gas_lift,51.95,69.73,76.4,1583,3670,1518,1.534,85.9,0,38.43,34.2,76.2,-3.48,1.6,10.3,15,0.771,0,0,1,0.907,clean,-5.08
EVT_0121,WELL_05,PAD_2,2024-10-30,gas_assisted_plunger,35.67,33.39,56,2096,4128,984,1.716,87.8,0,18.21,42,109.8,4.32,-10.8,-5,67,0.96,0,0,0,0.865,clean,-0.96
EVT_0122,WELL_10,PAD_4,2024-10-31,gas_assisted_plunger,28.75,36.94,29.9,2260,4740,792,0.721,78.6,5,44.85,40.5,101.4,2.37,-5.8,2.2,11,0.819,0,0,0,0.704,clean,2.49
